Book Title,Description,Author,Category /Shelf Code,Volume,Language,Old Shelf Code,OLD Acc No,Publisher,Year of Publication,NEW SHELF CODE,CHECKED,BOOK ID,ISBN,
Jagad Guru Bodalu,6th Samputamu,Sri Chandra Sekharendra Saraswathy,Advaita,,Telugu,L3,2845/5,"Sadhana Grantha Mandali, Tenali",1987,ADV-CSS,,1119,,
Jagad Guru Bodalu,5th Samputamu,Sri Chandra Sekharendra Saraswathy,Advaita,,Telugu,L3,2845/4,"Sadhana Grantha Mandali, Tenali",1975,ADV-CSS,,1120,,
Jagad Guru Bodalu,9th Samputamu,Sri Chandra Sekharendra Saraswathy,Advaita,,Telugu,L3,2599,"Sadhana Grantha Mandali, Tenali",1976,ADV-CSS,,1121,,
Jagad Guru Bodalu,1st Samputamu,Sri Chandra Sekharendra Saraswathy,Advaita,,Telugu,L3,2798,"Sadhana Grantha Mandali, Tenali",2003,ADV-CSS,,1122,,
Jagad Guru Bodalu,2nd Samputamu,Sri Chandra Sekharendra Saraswathy,Advaita,,Telugu,L3,2843/2,"Sadhana Grantha Mandali, Tenali",1967,ADV-CSS,,1123,,
Jagad Guru Bodalu,3rd Samputamu,Sri Chandra Sekharendra Saraswathy,Advaita,,Telugu,L3,2845/6,"Sadhana Grantha Mandali, Tenali",1970,ADV-CSS,,1124,,
Jagad Guru Bodalu,3rd Samputamu,Sri Chandra Sekharendra Saraswathy,Advaita,,Telugu,L3,2800,"Sadhana Grantha Mandali, Tenali",1995,ADV-CSS,,1125,,
Jagad Guru Bodalu,4th Samputamu,Sri Chandra Sekharendra Saraswathy,Advaita,,Telugu,L3,2801,"Sadhana Grantha Mandali, Tenali",1994,ADV-CSS,,1126,,
Jagad Guru Bodalu,5th Samputamu,Sri Chandra Sekharendra Saraswathy,Advaita,,Telugu,L3,2802,"Sadhana Grantha Mandali, Tenali",1988,ADV-CSS,,1127,,
Jagad Guru Bodalu,4th Samputamu,Sri Chandra Sekharendra Saraswathy,Advaita,,Telugu,L3,2845/8,"Sadhana Grantha Mandali, Tenali",NA,ADV-CSS,,1128,,
Jagad Guru Bodhanalu,2nd Samputam,Sri Chandra Sekharendra Saraswathy,Advaita,,Telugu,RRB-2,2845,"Sadhana Grantha Mandali, Tenali",1995,ADV-  CSS,,1129,,
Jagad Guru Bodhanalu,"7th Samputam, Shankara Vijayamu",Sri Chandra Sekharendra Saraswathy,Advaita,,Telugu,RRB-2,2845/7,"Sadhana Grantha Mandali, Tenali",1971,ADV- CSS,,1130,,
Jagadguru Maha-upadeshamu,Advaita Siddanta Sadhanam,Yellam Raju Srinivas Rao,Advaita,,Telugu,D6,3470,"Aadi Shankar Advaita Vedanta Vigyana Parishad, Hyderabad",2000,ADV- YRSR,,1131,,
Jagadguru Sri Chandrasekhara Bharati Mahaswami,Mystic and Seer,A.R. Natarajan,Advaita,,English,,1990,"Ramana Maharshi Centre of Learning, Bangalore",1997,ADV-,,1132,,
Jataka Martandamu,Vipulikruta,Pt. Akella Venkata Shasri,Advaita,,Telugu,RRb2,3498,"Kondapali BooksHouse,Rajamandr",2006,ADV- AVS,,1133,,
Jeevan Mukti Viveka:,NIL,Dr. P. Sri Ramachandrudu,Advaita,,Telugu,NA,2697,"Sura Bharati Samithi, O.U.Campus, Hyderabad",2012,ADV- PSR,,1134,,
Jeevita Lakshyamu,NIL,Koneki Venkata Subba Rao,Advaita,,Telugu,5,304,"Adyatma Yogalaya Trust, Hyderabad",1995,ADV-KV,,1135,,
Jeevitha Lakshyamu,Life Ambition,Konamki Venkata Subba Rao,Advaita,,Telugu,8,1506,"Adyathma Yogalaya Trust, Hyderabad",1995,ADV-KVSR,,1136,,
Kaivalya Navaneetamu,Tatvabodha Prakarnamu,Pt. Suryanarayana Theerthula ,Advaita,,Telugu,A5,1063,Sri Kanuparthi Markandeya,1923,ADV-  ST,,1137,,
Kaivalya Navaneetham,NIL,N.S. Ananthakrishna Sastriar,Advaita,,Sanskrit & Tamil,5,NA,"R. Subhramanya Vadhyar & Others,Kalpathi- Palghat",1940,ADV-NSA,,1138,,
Kaivalya Navanita Sara Sangraham,Part-2,V.Virappaswami,Advaita,,Telugu,6,90,Vajrakaruru,na,ADV-VV,,1139,,
Kaivalya Navanitam,Tatva Boda Prakaramu-1,Suryanarayanatirulavari,Advaita,,Telugu,7,37,Sri Kanaparti Markandeyasharma,1923,ADV-ST,,1140,,
Kaivalya Navanitam,Sandehanivarini-2,T.Suryanarayana ,Advaita,,Telugu,6,792,K. Markandeya Ashramam,1924,ADV-TS,,1141,,
Kamakala Vilasam,Udvita Sidantam,Ramana Amrutha,Advaita,,Telugu,6,960,"The ""Vavilla"" & Others, Madras",1934,ADV-RM,,1142,,
Kamkala Vilaasamu,Advaita Siddantamu,Vavila Rama Swami Sastry,Advaita,,Telugu,C1,2297,"The Chandrika Press, Madras",1959,ADV- VRS,,1143,,
Kamkala Vilaasamu,Advaita Siddantamu,Vavila Rama Swami Sastry,Advaita,,Telugu,C1,2298,"The Chandrika Press, Madras",1959,ADV- VRS,,1144,,
Kamshir Series of Texts & Studies Series No-74,Paratrishika-Tattparya Dipika & Shakta Vijnanam Of Somananda,Edited by- J.Zadoo,Advaita,,Sanskrit,3,248,"Sri Maharaja Harisinghji Bahadur, J&K State.",1947,ADV-,,1145,,
Kashmir Series No- XXXI- The Swachhanda -Tantram,With Commentary by- Kshemraja,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,68,"Sir Pratap Singh Sahib Bahadur, J&K State.",1921,ADV- MKS,,1146,,
Kashmir Series No-L.-The Sri Mrgendra Tantram(Vidyapada & Yogapada),With Commentary by Narayanakantha,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,169,"Sri Maharaja Harsinghji Bahadur, J&K State.",1930,ADV- MKS,,1147,,
Kashmir Series No-LI-The Swachhanda Tantram,With Commentary by-Kshemaraja & Edited by,Pt. Madhusudan Kaul Sastri,Advaita,,Sanskrit & English,3,178,"Sri Maharaja Harsinghji Bahadur, J&K State.",1930,ADV- MKS,,1148,,
